,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,label
89,3.0,2.0,3.0,32,2,1,2,3,1,2,6,1,57470,1.0,13,8.0,8,0,7,3,3,0
90,1.0,3.0,1.0,48,2,2,13,4,1,4,7,1,98540,3.0,16,15.0,0,0,0,2,3,0
91,3.0,1.0,3.0,37,2,1,8,5,1,2,4,0,54670,4.0,12,13.0,7,6,7,3,3,0
92,4.0,3.0,4.0,30,0,2,25,4,1,1,0,1,53800,7.0,21,4.0,2,2,2,3,4,0
93,3.0,3.0,3.0,26,2,2,28,3,0,5,2,1,51510,1.0,15,8.0,8,7,7,3,3,0
94,1.0,4.0,3.0,42,2,2,2,2,0,1,2,2,21330,3.0,13,14.0,1,0,0,3,3,0
95,1.0,2.0,3.0,21,1,1,9,3,0,4,4,2,178750,1.0,12,3.0,3,1,2,2,3,1
96,4.0,4.0,3.0,36,0,0,28,3,1,2,2,2,24320,4.0,22,7.0,1,0,0,1,4,0
97,1.0,4.0,3.0,36,1,1,6,3,0,2,6,1,47710,4.0,13,16.0,13,1,12,3,3,0
98,4.0,3.0,3.0,57,2,1,21,4,1,5,6,1,191610,2.0,18,15.0,3,1,2,1,3,0
99,4.0,3.0,3.0,40,2,1,8,3,1,2,7,1,50870,3.0,14,10.0,7,1,7,3,3,0
100,1.0,4.0,2.0,21,0,1,1,5,0,2,3,2,28630,1.0,14,3.0,3,2,2,1,3,0
101,4.0,3.0,3.0,33,2,0,28,2,0,5,3,2,55610,1.0,21,1.0,1,0,0,1,4,1
102,3.0,1.0,3.0,37,2,1,5,3,1,4,6,1,21440,6.0,19,17.0,5,0,3,4,3,0
103,3.0,3.0,4.0,46,0,2,2,4,0,2,2,1,30650,2.0,11,7.0,1,0,0,3,3,0
104,1.0,2.0,3.0,41,1,1,16,1,0,1,6,2,28100,1.0,11,8.0,8,7,7,4,3,1
105,4.0,4.0,3.0,50,2,1,9,3,0,3,2,2,98880,6.0,15,20.0,4,1,3,3,3,0
106,3.0,3.0,3.0,40,2,1,8,3,0,1,0,1,86280,2.0,20,8.0,6,1,0,2,4,1
107,3.0,2.0,3.0,21,2,0,10,2,1,1,2,2,53730,1.0,12,1.0,1,0,0,3,3,1
108,4.0,4.0,3.0,29,2,1,1,3,0,2,5,2,66670,9.0,12,6.0,3,1,2,4,3,0
109,3.0,2.0,3.0,35,2,1,29,3,0,3,7,2,50030,9.0,15,10.0,1,0,0,3,3,0
110,2.0,4.0,3.0,28,2,1,2,2,1,3,3,2,28580,1.0,12,7.0,7,0,7,2,3,0
111,2.0,3.0,3.0,49,2,2,2,3,1,2,4,2,52040,8.0,14,26.0,5,0,0,3,3,0
112,3.0,4.0,2.0,51,2,1,1,2,1,1,7,1,41050,4.0,22,18.0,7,0,7,3,4,0
113,4.0,3.0,3.0,36,2,2,15,2,1,1,7,1,96790,4.0,12,6.0,2,2,2,3,3,0
114,1.0,4.0,2.0,34,0,1,7,3,1,1,8,2,56170,8.0,25,9.0,5,0,4,3,4,1
115,3.0,4.0,3.0,55,2,2,26,3,1,1,2,2,104480,2.0,13,30.0,5,1,2,3,3,0
116,4.0,3.0,4.0,24,2,1,1,3,0,5,3,0,28970,1.0,18,5.0,5,0,3,3,3,0
117,3.0,2.0,3.0,30,2,1,3,3,0,2,3,1,59680,1.0,13,1.0,1,0,0,3,3,0
118,1.0,2.0,3.0,22,2,1,16,5,1,1,6,1,29910,1.0,19,2.0,2,1,2,2,3,0
119,2.0,3.0,3.0,36,2,1,1,3,0,5,0,1,196360,1.0,12,10.0,10,9,0,3,3,0
120,3.0,4.0,3.0,30,1,2,3,2,1,3,6,2,11290,9.0,19,3.0,1,0,0,2,3,1
121,4.0,1.0,2.0,37,2,1,10,1,1,1,7,0,133410,1.0,14,18.0,18,12,17,3,3,0
122,4.0,2.0,3.0,40,2,1,6,2,1,3,6,0,43320,7.0,14,8.0,5,1,3,2,3,0
123,2.0,1.0,3.0,42,2,1,2,3,0,4,3,0,110310,3.0,12,8.0,5,1,2,2,3,0
124,3.0,2.0,2.0,37,2,2,9,1,1,3,7,2,44400,2.0,11,18.0,1,0,1,2,3,0
125,1.0,2.0,3.0,43,2,2,10,2,0,1,7,0,46170,1.0,11,25.0,25,3,9,3,3,0
126,2.0,3.0,3.0,40,2,2,6,2,0,1,2,1,26470,6.0,13,20.0,1,0,0,2,3,0
127,1.0,1.0,2.0,54,2,0,9,3,0,2,4,1,63230,4.0,23,24.0,4,1,2,2,4,0
128,3.0,3.0,3.0,34,0,1,28,3,1,1,2,1,56770,9.0,20,6.0,3,1,2,3,4,0
129,2.0,1.0,1.0,31,2,1,10,4,1,3,7,1,21870,1.0,15,13.0,13,3,12,2,3,0
130,3.0,3.0,3.0,43,2,2,27,4,1,2,8,0,39770,4.0,18,8.0,5,0,2,3,3,0
131,2.0,4.0,3.0,25,2,0,7,2,1,1,4,2,86330,1.0,19,5.0,5,1,3,4,3,0
132,2.0,3.0,3.0,37,0,1,1,3,1,3,2,1,20080,3.0,22,15.0,13,10,7,2,4,0
133,4.0,1.0,3.0,31,2,1,24,1,1,3,2,1,44400,1.0,13,4.0,4,3,2,3,3,0
134,2.0,3.0,3.0,39,1,1,26,4,0,1,7,0,30670,1.0,20,21.0,21,1,6,1,4,0
135,3.0,1.0,2.0,56,1,1,20,4,0,3,7,1,53210,9.0,14,36.0,7,7,7,3,3,0
136,2.0,3.0,3.0,30,2,2,5,4,0,2,4,2,54100,0.0,17,6.0,5,4,4,3,3,0
137,2.0,1.0,3.0,41,2,1,7,3,0,3,6,1,27820,1.0,14,10.0,10,0,7,2,3,0
138,3.0,1.0,3.0,28,2,1,7,3,1,3,0,0,119570,1.0,13,10.0,10,1,8,2,3,0
139,1.0,1.0,3.0,25,2,1,5,2,0,3,2,1,26600,5.0,13,6.0,2,0,2,3,3,1
140,4.0,3.0,3.0,52,2,1,26,2,0,2,8,1,33750,2.0,21,28.0,5,0,4,2,4,0
141,1.0,4.0,2.0,45,2,1,2,3,0,1,7,1,50980,3.0,14,8.0,2,0,2,3,3,0
142,4.0,4.0,1.0,52,2,1,12,3,1,2,6,1,48780,2.0,11,31.0,5,1,4,3,3,0
143,1.0,3.0,3.0,42,1,2,10,3,0,2,0,0,28370,2.0,13,19.0,5,0,2,2,3,0
144,3.0,4.0,3.0,30,2,2,25,3,1,1,7,2,24060,2.0,20,11.0,5,0,2,3,4,0
145,1.0,1.0,1.0,60,2,1,10,3,0,1,4,1,22690,5.0,18,33.0,29,11,10,3,3,0
146,3.0,3.0,2.0,46,2,2,19,4,0,1,7,0,41080,2.0,14,19.0,10,0,8,2,3,0
147,4.0,4.0,4.0,42,1,1,18,4,1,4,7,1,132060,0.0,13,7.0,6,0,4,3,3,0
148,1.0,2.0,3.0,24,2,1,27,2,1,1,6,2,104220,1.0,17,6.0,5,1,4,2,3,1
149,4.0,3.0,2.0,34,1,1,5,3,1,2,6,0,137440,0.0,20,3.0,2,1,0,3,4,1
150,4.0,4.0,3.0,38,1,2,3,3,0,2,7,1,49070,1.0,11,1.0,1,0,0,3,3,0
151,3.0,3.0,3.0,40,2,2,26,4,0,1,7,1,34820,0.0,18,21.0,20,1,12,2,3,0
152,1.0,4.0,1.0,26,2,1,3,2,0,4,0,0,24360,1.0,24,3.0,3,0,2,4,4,0
153,3.0,4.0,1.0,30,0,1,15,3,0,2,7,1,23800,4.0,18,9.0,5,1,4,2,3,0
154,2.0,3.0,3.0,29,2,1,8,3,0,3,4,1,194310,1.0,11,10.0,10,0,7,3,3,0
155,3.0,2.0,4.0,29,2,1,19,4,1,3,6,1,17900,5.0,16,6.0,2,1,1,2,3,1
156,1.0,4.0,4.0,19,2,1,4,3,1,1,7,2,76440,1.0,15,1.0,1,0,0,3,3,1
157,3.0,1.0,3.0,30,0,1,2,4,0,3,6,1,51310,0.0,15,10.0,9,7,8,3,3,0
158,1.0,4.0,2.0,57,2,1,2,2,1,4,6,0,63060,3.0,12,32.0,1,0,0,3,3,0
159,2.0,3.0,3.0,50,2,2,10,4,0,3,3,1,47870,0.0,12,28.0,27,15,7,3,3,0
160,3.0,4.0,2.0,30,0,2,10,2,1,3,2,2,188800,0.0,22,12.0,11,6,7,3,4,0
161,3.0,1.0,4.0,60,1,1,16,3,0,4,2,1,23390,4.0,20,22.0,18,13,11,3,4,0
162,1.0,4.0,3.0,47,2,1,1,3,1,5,4,0,135700,5.0,16,20.0,5,0,4,2,3,0
163,1.0,3.0,1.0,46,2,2,4,1,1,1,2,1,67120,6.0,21,26.0,3,0,1,2,4,0
164,4.0,3.0,3.0,35,2,1,15,2,0,2,2,2,54060,0.0,12,6.0,5,4,3,3,3,0
165,3.0,3.0,3.0,54,2,1,2,4,1,2,1,2,89380,7.0,11,19.0,1,0,0,3,3,0
166,4.0,3.0,3.0,34,2,2,8,2,1,1,2,0,24390,3.0,11,14.0,7,5,7,4,3,0
167,3.0,4.0,3.0,46,2,1,2,3,1,1,0,1,88370,2.0,18,15.0,3,1,2,2,3,0
168,3.0,2.0,4.0,31,2,1,7,3,1,2,5,0,53430,1.0,14,13.0,13,0,8,3,3,0
169,2.0,3.0,4.0,33,2,1,10,3,0,4,5,1,67280,7.0,22,15.0,7,7,7,2,4,1
170,1.0,4.0,3.0,33,2,2,5,4,1,2,5,0,66520,7.0,25,8.0,4,1,3,3,4,1
171,4.0,2.0,3.0,30,2,1,2,3,1,1,7,2,48500,0.0,12,4.0,3,1,2,3,3,0
172,4.0,3.0,3.0,35,2,1,12,2,0,2,8,1,28090,4.0,23,10.0,8,0,0,1,4,0
173,1.0,3.0,3.0,31,1,1,22,2,0,2,7,1,56890,3.0,15,12.0,1,0,0,2,3,1
174,2.0,1.0,3.0,34,1,2,17,1,1,1,5,0,20010,9.0,22,11.0,3,0,2,4,4,1
175,2.0,3.0,3.0,42,1,1,2,4,0,1,6,1,29770,4.0,15,8.0,2,2,0,2,3,0
176,2.0,4.0,2.0,36,0,1,3,4,1,1,6,2,40250,1.0,11,10.0,10,9,7,3,3,0
177,3.0,3.0,3.0,22,1,1,7,3,0,2,2,2,37850,5.0,13,4.0,2,1,2,3,3,1
178,2.0,4.0,3.0,48,2,1,6,3,1,1,2,1,108540,2.0,14,14.0,9,6,7,3,3,0
179,1.0,2.0,3.0,55,2,1,1,3,0,1,7,2,120310,3.0,11,37.0,10,7,7,3,3,0
180,4.0,4.0,3.0,41,0,1,3,2,0,2,6,2,99360,7.0,17,16.0,14,1,10,2,3,0
181,2.0,3.0,3.0,35,2,1,22,3,0,1,8,1,29660,9.0,18,15.0,11,6,9,2,3,0
182,2.0,3.0,3.0,40,2,1,15,3,0,2,2,2,25710,7.0,14,22.0,20,5,13,3,3,0
183,3.0,3.0,3.0,39,1,1,12,1,1,1,6,1,99910,1.0,16,8.0,8,0,7,3,3,0
184,2.0,4.0,4.0,31,2,1,1,4,1,3,5,2,61420,4.0,13,10.0,6,0,5,2,3,0
185,4.0,1.0,2.0,42,2,1,5,3,1,3,7,1,53900,1.0,14,10.0,10,5,8,3,3,0
186,4.0,2.0,4.0,45,2,1,2,1,0,4,7,1,44040,0.0,23,9.0,8,3,7,3,4,0
187,4.0,4.0,4.0,29,2,1,5,3,1,1,6,0,51300,4.0,11,8.0,3,1,2,2,3,0
188,1.0,3.0,3.0,33,2,1,16,3,0,1,2,0,20900,4.0,16,10.0,6,0,5,3,3,0
189,3.0,4.0,2.0,31,2,1,2,4,0,1,7,0,29090,9.0,14,10.0,5,0,1,3,3,0
190,2.0,2.0,3.0,18,1,1,2,3,1,1,7,2,34680,1.0,18,0.0,0,0,0,4,3,1
191,3.0,1.0,3.0,40,0,1,1,4,0,2,2,0,30680,3.0,19,20.0,1,0,1,2,3,0
192,1.0,3.0,3.0,41,0,1,23,3,1,2,4,2,26700,2.0,15,10.0,8,0,7,2,3,0
193,1.0,3.0,3.0,26,2,1,9,4,1,3,0,0,26930,5.0,17,8.0,0,0,0,2,3,0
194,1.0,3.0,3.0,35,2,1,16,4,1,2,1,2,95260,1.0,15,5.0,5,0,3,2,3,0
195,4.0,4.0,3.0,34,2,1,26,3,1,1,2,2,52370,1.0,19,10.0,10,5,7,2,3,0
196,3.0,4.0,1.0,26,2,2,1,3,0,2,4,2,24260,1.0,22,1.0,1,0,0,1,4,1
197,2.0,4.0,4.0,37,2,1,8,1,1,1,7,2,41930,4.0,16,12.0,6,1,2,3,3,0
198,1.0,3.0,2.0,46,1,1,4,1,1,5,1,1,29110,5.0,13,28.0,2,1,2,3,3,0
199,2.0,1.0,3.0,41,2,1,24,1,1,1,5,1,26610,7.0,14,22.0,18,11,8,3,3,0
200,1.0,2.0,3.0,37,0,1,7,2,1,1,7,0,20280,1.0,16,9.0,9,7,7,3,3,0
201,4.0,3.0,3.0,32,0,1,7,2,0,2,5,1,32980,8.0,22,6.0,4,1,2,2,4,1
202,4.0,4.0,3.0,24,1,2,22,3,0,1,0,1,29350,0.0,14,3.0,2,2,1,2,3,0
203,3.0,3.0,3.0,38,2,1,5,3,0,1,6,1,154270,3.0,16,18.0,1,0,0,3,3,0
204,2.0,2.0,2.0,37,2,1,1,4,0,5,6,1,39440,6.0,11,8.0,6,4,3,3,3,0
205,4.0,3.0,3.0,49,2,2,21,1,1,1,7,0,40110,1.0,18,31.0,31,0,9,1,3,0
206,2.0,4.0,3.0,24,2,2,1,3,0,1,7,1,34070,1.0,15,6.0,6,1,4,2,3,0
207,1.0,2.0,4.0,26,2,1,19,4,0,4,7,1,119940,1.0,14,6.0,5,1,4,3,3,0
208,4.0,2.0,3.0,24,2,2,7,3,0,1,2,1,12320,1.0,12,1.0,1,0,0,1,3,0
209,1.0,2.0,3.0,50,1,2,2,2,1,1,7,1,29600,1.0,14,32.0,32,10,7,3,3,0
210,2.0,3.0,3.0,25,2,1,2,3,1,1,6,1,190940,1.0,16,7.0,7,0,6,2,3,0
211,1.0,3.0,3.0,24,1,1,2,3,1,2,6,1,39190,1.0,21,6.0,6,1,2,3,4,1
212,2.0,1.0,4.0,30,1,1,9,3,1,2,0,1,68250,1.0,14,1.0,1,0,0,3,3,1
213,2.0,4.0,3.0,34,2,2,6,2,1,4,5,1,102480,1.0,12,6.0,6,1,3,3,3,0
214,2.0,1.0,1.0,31,2,1,9,1,0,1,8,0,189470,2.0,12,9.0,3,1,2,2,3,1
215,1.0,4.0,3.0,35,2,1,2,3,0,5,7,2,24960,4.0,17,9.0,3,0,2,3,3,0
216,1.0,4.0,4.0,31,2,2,1,3,0,2,7,0,64650,4.0,17,13.0,7,5,7,3,3,0
217,1.0,3.0,2.0,27,2,2,22,4,1,1,8,0,22060,0.0,14,6.0,5,0,3,3,3,0
218,4.0,3.0,2.0,37,2,2,9,4,0,2,2,1,20860,4.0,14,17.0,3,1,0,3,3,0
219,4.0,2.0,4.0,20,2,1,17,4,0,1,8,2,22930,1.0,13,1.0,1,0,0,1,3,0
220,3.0,4.0,3.0,42,2,1,28,4,0,2,4,1,26450,1.0,15,10.0,10,2,2,3,3,0
221,2.0,4.0,2.0,43,2,1,10,5,0,2,7,0,26830,4.0,11,21.0,1,0,0,3,3,0
222,3.0,1.0,2.0,38,2,0,2,4,1,1,1,2,20140,3.0,17,8.0,0,0,0,4,3,0
223,4.0,3.0,3.0,43,1,2,4,3,0,2,0,0,34190,3.0,11,10.0,8,4,7,3,3,0
224,4.0,1.0,1.0,48,2,1,8,1,1,2,2,1,53760,7.0,13,21.0,3,0,2,4,3,0
225,1.0,3.0,4.0,44,2,2,29,4,1,2,7,2,19510,4.0,22,10.0,2,0,2,4,4,0
226,3.0,3.0,3.0,34,2,1,13,4,0,1,2,0,23410,1.0,20,8.0,8,0,6,2,4,0
227,3.0,1.0,3.0,27,2,2,27,3,1,2,6,0,22930,0.0,18,5.0,4,0,2,3,3,1
228,3.0,3.0,3.0,21,2,2,16,2,1,3,7,2,87260,1.0,11,3.0,3,1,2,1,3,0
229,4.0,4.0,4.0,44,2,1,2,2,1,1,2,1,40110,4.0,14,26.0,2,0,1,3,3,0
230,1.0,3.0,3.0,22,2,1,2,2,0,2,2,1,195450,0.0,14,3.0,2,2,2,2,3,0
231,3.0,3.0,3.0,33,2,2,13,4,0,2,4,0,45680,0.0,18,6.0,5,1,2,3,3,0
232,1.0,4.0,2.0,32,2,1,1,1,0,1,0,1,30220,1.0,16,6.0,6,0,5,3,3,0
233,3.0,3.0,3.0,30,1,1,4,5,1,3,3,0,57720,1.0,17,1.0,1,0,0,3,3,0
234,4.0,1.0,4.0,53,2,1,24,3,0,3,3,2,22690,7.0,11,18.0,14,8,10,2,3,0
235,2.0,4.0,2.0,34,2,1,1,5,1,1,6,1,53810,1.0,12,10.0,10,8,8,3,3,0
236,1.0,1.0,3.0,45,1,1,19,4,1,3,5,1,34410,2.0,13,5.0,1,0,0,3,3,1
237,3.0,4.0,3.0,26,2,1,7,2,1,1,4,1,54540,1.0,13,3.0,3,0,2,4,3,0
238,3.0,3.0,3.0,37,2,1,4,3,1,1,3,1,98840,1.0,14,10.0,10,7,8,2,3,0
